Category,Description,Image,Title,Max tokens (API),ID,Plan,PromptSystem,,Fields,Negativeprompt,Font
Social Media,Create a catchy clickbait title!,Youtubetitlegenerator.webp,YouTube video title generator ,512,10001,Free,"Generate an attention-grabbing YouTube video title with elements of urgency, curiosity, and emotion. Tailor the title to resonate with the specified audience and the given video content. Craft a title that not only sparks curiosity but also encourages viewers to click and engage:",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",black color,Arial
Social Media,Create the perfect thread that resonates with your audience!,x-logo.webp,X thread generator,512,10002,Starter,"Craft a compelling X tweet focused on the provided topic, considering the target audience and content details. Develop a tweet that is engaging, informative, and tailored to resonate with the intended audience (general audience for sample)",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Sevillana
Summarize,Translates difficult text into simpler concepts.,translate2.webp,Translate Language,512,10003,Professional,"Generate a concise summary of the provided text, highlighting key points and maintaining clarity. Ensure the summary captures the essential information while being succinct and coherent:",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Gabriola
e-Commerce,Improve the website's search engine ranking and visibility,summarize.webp,SEO ,512,10004,Professional,"Create SEO tags for a product post using the provided product name, product description, and search term. Craft tags that are optimized for search engine visibility, incorporating relevant keywords and accurately reflecting the content to enhance discoverability:",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Brush Script MT
e-Commerce,Create the perfect name for your product,naming.webp,Conversion Craft,512,10005,Starter,"Craft a compelling product description that is optimized for high conversion. Utilize the provided product name, detailed product information, and insights about the target audience to create a description that captivates potential customers and encourages them to make a purchase",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Social Media,Captions that resonate with your audience,captions.webp,Caption Mastery,512,10006,Professional,"Create engaging Instagram captions that align with the provided tone of voice and description. Craft captions that capture attention, convey the intended mood, and enhance the overall appeal of the content",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Digital Ads,Create highly converting ad copy,adcopy.webp,Tailored Facebook Ads,500,10007,Professional,"Compose a highly converting Facebook ad copy tailored to the provided product or service and target audience. Craft a compelling message that resonates with the audience's needs, highlights the unique selling points, and encourages them to take action.",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Summarize,Understand all concepts as if a 10 year old explained it to you!,10008personaldev.webp,Simplified Insights,512,10008,Professional,Summarize this for a fifth-grade student:,,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
e-Commerce,Automate responding to customers!,10009CustServ.webp,Crafting Courtesy,512,10009,Professional,"Craft a polite and professional response as a customer service representative, incorporating the provided customer's name, their request, and my response. Ensure that the reply is courteous, addresses the customer's concerns, and maintains a helpful tone throughout:",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
Digital Ads,Create cold sales email that converts!,10010ColdSales.webp,Email Essentials,512,10010,Professional,"Compose a compelling cold sales email incorporating the provided reach-out reason, company name, value proposition, company description, and a clear call to action. Craft a persuasive message that captures the recipient's attention and motivates them to take the desired action",,"[{'type': 'input', 'Description': 'Enter some text'},{'type': 'textarea', 'Description': 'Enter some text'}]",,Arial
